year,pnum,nestbox,clear_date,missing_entire_brood,suspected_predation,lay_date,april_lay_date,lay_date_visit_interval,laying_rate,incubation_started,num_broken_eggs,hatch_date,april_hatch_date,incubation_duration,total_egg_weight,num_eggs_weighed,clutch_size,num_chicks,num_chicks_ringed,april_ring_date,ring_day,num_live_chicks,num_dead_chicks,num_fledglings,mean_chick_weight,father,mother,resident,natal_box,year_born,bto_age,age,x,y,type,poly,edge_edi,altitude_m,aspect,northness,habitat_type,soil_type,recorded,total_recordings,missing_recordings,first_recorded,last_recorded,delay,n_vocalisations,repertoire_size
2013,20131C5,C5,2013-05-24,,,2013-04-26,26.0,6.0,,True,0,2013-05-16,46.0,16.0,5.4,3.0,5.0,5.0,0,,,,5,0,,,,,,,,,446290.72,206782.76,G,1308.9,109.731,100.273,146.243,-0.83140173,5.0,3.0,False,0,0,,,,0,
2013,20131C53,C53,2013-07-07,,,2013-04-28,28.0,6.0,1.0,True,0,2013-05-19,49.0,15.0,7.2,4.0,7.0,6.0,3,63.0,15.0,3.0,0,3,17.8,ts47542,ts45622,False,,,4.0,unknown,446554.72,206813.76,G,1621.21,27.8326,97.0233,251.293,-0.320728712,5.0,3.0,False,0,0,,,,0,
2013,20131C57,C57,2013-06-11,,,2013-04-27,27.0,6.0,1.0,True,0,2013-05-18,48.0,14.0,6.3,4.0,8.0,7.0,7,62.0,15.0,7.0,1,6,14.31,y035981,y160492,False,,,4.0,unknown,446488.33,206892.71,G,1474.71,132.188,98.2433,171.91,-0.990048235,5.0,3.0,False,0,0,,,,0,
2013,20131C58,C58,2013-05-21,,,2013-04-24,24.0,6.0,,True,0,2013-05-11,41.0,13.0,8.2,5.0,5.0,5.0,0,,,,5,0,,,,,,,,,446431.72,206991.76,G,1231.93,60.395,108.14,145.777,-0.826854873,5.0,2.0,False,0,0,,,,0,
2013,20131C59,C59,2013-07-07,,,2013-05-05,35.0,7.0,1.0,True,0,2013-05-24,54.0,14.0,6.7,4.0,6.0,6.0,1,68.0,15.0,1.0,0,1,18.3,,tl37539,,,,,,446421.72,207056.76,G,588.556,4.36517,114.613,171.867,-0.98994234,5.0,2.0,False,0,0,,,,0,
2013,20131C61,C61,2013-06-11,,,2013-04-25,25.0,6.0,,True,0,2013-05-15,45.0,14.0,6.8,4.0,7.0,5.0,5,59.0,15.0,5.0,0,5,13.88,x805375,tl39440,False,,,4.0,unknown,446277.33,206952.71,G,3244.06,67.4714,112.129,146.211,-0.831091255,5.0,3.0,False,0,0,,,,0,
2013,20131C62,C62,2013-07-07,,,2013-05-03,33.0,7.0,,True,0,2013-05-21,51.0,14.0,4.5,3.0,5.0,2.0,2,65.0,15.0,2.0,0,2,17.85,tr43131,t640379,False,,,4.0,unknown,446256.33,206910.71,G,1937.51,24.4665,110.39,166.362,-0.971804835,5.0,3.0,False,0,0,,,,0,
2013,20131C8,C8,2013-06-11,,,2013-04-24,24.0,6.0,,True,0,2013-05-14,44.0,14.0,9.3,5.0,7.0,4.0,0,,,,4,0,,y160796,y031493,False,,,6.0,adult,446240.33,206637.71,G,1578.18,46.2195,90.21,181.506,-0.999654578,5.0,3.0,False,0,0,,,,0,
2013,20131C9A,C9A,2013-06-11,,,2013-04-21,21.0,0.0,,True,0,2013-05-10,40.0,15.0,4.8,3.0,5.0,5.0,3,54.0,15.0,3.0,1,3,14.47,y836964,tp28712,False,,,6.0,adult,446141.33,206711.71,G,2907.53,16.2825,93.1011,234.602,-0.579252719,5.0,3.0,False,0,0,,,,0,
2013,20131CP17,CP17,2013-06-29,,,2013-05-10,40.0,8.0,,True,0,2013-05-25,55.0,11.0,,,5.0,3.0,3,69.0,15.0,3.0,0,3,20.63,y160446,tr43611,False,,,4.0,unknown,446523.33,209028.71,G,2441.45,214.165,93.6368,314.301,0.698427777,4.0,3.0,False,0,0,,,,0,
